date,topic,num_articles,avg_tone,sentiment_label,sentiment_polarity
11/4/24,war,11495,-3.28,negative,-1
11/4/24,election,241348,-0.54,negative,-1
11/4/24,immigration,13612,-2.51,negative,-1
11/5/24,war,12392,-3.2,negative,-1
11/5/24,election,265080,-0.26,negative,-1
11/5/24,immigration,13967,-2.41,negative,-1
11/6/24,war,10818,-3.05,negative,-1
11/6/24,election,278233,0.19,positive,1
11/6/24,immigration,14725,-1.91,negative,-1
