date,topic,num_articles,avg_tone
11/4/24,conflict,11495,-3.28
11/4/24,election,241348,-0.54
11/4/24,immigration,13612,-2.51
11/5/24,conflict,12392,-3.2
11/5/24,election,265080,-0.26
11/5/24,immigration,13967,-2.41
11/6/24,conflict,10818,-3.05
11/6/24,election,278233,0.19
11/6/24,immigration,14725,-1.91
