channel,video_count,conflict_count,election_count,immigration_count
NBC News,12,0,11,1
Sky News,10,0,10,0
ABC News,9,0,9,0
BBC News,8,0,8,0
USA TODAY,7,0,6,1
Timcast IRL,7,0,7,0
CNN,5,0,5,0
Associated Press,5,0,5,0
Bloomberg News,5,0,5,0
Intense politics,4,4,0,0
