date,topic,video_count,avg_view_count,sum_view_count,avg_like_count,sum_like_count,avg_comment_count,sum_comment_count
11/4/24,conflict/war,15,10395.47,155932,693.5,9709,24.33,365
11/4/24,election,35,565721.06,19800237,21314.71,746015,2012.79,68435
11/4/24,immigration,13,714059,9282767,25545.77,332095,1006.38,13083
11/5/24,conflict/war,14,105579.5,1478113,2986.36,41809,335.21,4693
11/5/24,election,34,154514.71,5253500,5619.79,185453,571.41,19428
11/5/24,immigration,18,158816.44,2858696,3957.56,71236,1014.11,18254
11/6/24,conflict/war,15,2180.93,32714,97.93,1371,5.07,76
11/6/24,election,175,1146151.26,200576470,23078.27,3923306,3314.12,556773
11/6/24,immigration,22,629582.82,13850822,2209.74,41985,347.95,6959
